destination_id,destination_name,region,category,popularity,best_time,Type,Zone,time needed to visit in hrs,Google review rating,budget
1,India Gate,Delhi,historical,4.52,sep-mar,War Memorial,northern,0.5,4.6,low
2,Humayun'S Tomb,Delhi,historical,3.65,nov-feb,Tomb,northern,2,4.5,medium
3,Akshardham Temple,Delhi,religious,4.46,nov-feb,Temple,northern,5,4.6,low
4,Waste To Wonder Park,Delhi,entertainment,3.6,nov-feb,Theme Park,northern,2,4.1,high
5,Jantar Mantar,Delhi,cultural,3.82,sep-mar,Observatory,northern,2,4.2,medium
6,Chandni Chowk,Delhi,city,3.77,oct-feb,Market,northern,3,4.2,medium
7,Lotus Temple,Delhi,religious,3.81,nov-feb,Temple,northern,1,4.5,low
8,Red Fort,Delhi,historical,4.1,oct-feb,Fort,northern,2,4.5,medium
9,Agrasen Ki Baoli,Delhi,city,4.51,sep-mar,Stepwell,northern,1,4.2,medium
10,Sunder Nursery,Delhi,city,4.59,sep-mar,Park,northern,2,4.6,low
11,Garden Of Five Senses,Delhi,city,4.11,oct-feb,Park,northern,2,4.1,low
12,Lodhi Garden,Delhi,city,4.11,sep-mar,Park,northern,1,4.5,low
13,National Gallery Of Modern Art,Delhi,cultural,4.39,oct-mar,Museum,northern,3,4.5,medium
14,National Zoological Park,Delhi,historical,3.57,nov-feb,War Memorial,northern,0.5,4.6,low
15,Qutub Minar,Delhi,historical,4.2,oct-mar,Monument,northern,1,4.5,medium
16,National Science Centre,Delhi,cultural,4.36,oct-mar,Science,northern,5,4.4,medium
17,Marine Drive,Maharashtra,city,3.81,oct-mar,Promenade,western,2,4.5,medium
18,Gateway Of India,Maharashtra,historical,4.54,nov-feb,Monument,western,1,4.6,medium
19,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Maharashtra,cultural,4.16,oct-mar,Museum,western,1,4.6,medium
20,Sanjay Gandhi National Park,Maharashtra,wildlife,3.64,sep-mar,National Park,western,3,4.3,medium
